query,intent_cluster,intent_type,funnel_stage,demand_tier_est,commercial_tier_est,ai_citation_potential,mapped_url_or_gap,recommended_action
australia day bondi beach,Seasonal & events,informational,MOFU,M,L,H,/bondi-blog/2024/1/13/a-guide-to-australia-day-at-bondi-beach,own via existing
sculpture by the sea bondi 2026,Seasonal & events,informational,MOFU,M,L,H,/bondi-blog/2025/10/15/sculpture-by-the-seareturns-to-bondi-and-tamarama-what-you-need-to-know-in-2025,upgrade existing
festival of the winds bondi,Seasonal & events,informational,MOFU,M,L,H,/bondi-blog/2023/9/9/soaring-high-at-bondi-beach-festival-of-the-winds,own via existing
bondi markets saturday,Seasonal & events,informational,MOFU,M,M,H,/bondi-blog/2023/8/22/bondis-saturday-farmers-market-your-complete-guide-to-fresh-local-produce-by-the-beach,own via existing
bondi markets sunday,Seasonal & events,informational,MOFU,M,M,H,/bondi-blog/2023/9/4/bond-market-sunday-guide,own via existing
bondi farmers market opening hours,Seasonal & events,informational,BOFU,M,M,H,/bondi-blog/2023/8/22/bondis-saturday-farmers-market-your-complete-guide-to-fresh-local-produce-by-the-beach,own via existing
whale watching bondi beach,Seasonal & events,informational,MOFU,M,M,H,/bondi-blog/whale-watching-bondi-beach,own via existing
whale watching season sydney when,Seasonal & events,informational,MOFU,M,M,H,/bondi-blog/whale-watching-bondi-guide-2024,own via existing
can you see dolphins at bondi,Seasonal & events,informational,MOFU,L,L,H,/bondi-blog/2024/1/25/can-you-see-dolphins-at-bondi-beach,own via existing
city2surf bondi finish,Seasonal & events,informational,MOFU,M,L,H,/bondi-blog/ultimate-guide-city-to-surf,own via existing
city2surf training plan,Seasonal & events,informational,MOFU,M,L,H,/bondi-blog/city-to-surf-training-plan,own via existing
sydney marathon bondi,Seasonal & events,informational,MOFU,M,L,H,/bondi-blog/2024/9/7/an-insiders-guide-to-the-sydney-marathon-2024,own via existing
best time to visit bondi beach,Seasonal & events,informational,MOFU,H,L,H,/bondi-blog/best-time-to-visit-bondi-beach,own via existing
bondi beach weather,Seasonal & events,informational,TOFU,H,L,H,/bondi-weather,own via existing
bondi beach weather forecast,Seasonal & events,informational,MOFU,M,L,M,/bondi-weather,own via existing
bondi beach temperature today,Seasonal & events,informational,MOFU,M,L,M,/bondi-blog/Bondi-beach-temperature,own via existing
bondi beach sunrise time,"Photography, sunrise & sunset",informational,MOFU,M,L,H,/bondi-blog/sunrise-sunset-bondi,own via existing
bondi beach sunset,"Photography, sunrise & sunset",informational,MOFU,M,L,H,/bondi-blog/sunrise-sunset-bondi,own via existing
best photo spots bondi beach,"Photography, sunrise & sunset",informational,TOFU,M,L,H,/bondi-blog/sunrise-sunset-bondi,belongs-on-hub
bondi instagram spots,"Photography, sunrise & sunset",informational,TOFU,M,L,M,/bondi-blog/hidden-gems-bondi-beach,belongs-on-hub
bondi icebergs photo spot,"Photography, sunrise & sunset",informational,TOFU,M,L,M,/bondi-icebergs,belongs-on-hub
where to watch sunrise in bondi,"Photography, sunrise & sunset",informational,MOFU,L,L,H,/bondi-blog/sunrise-sunset-bondi,own via existing
is bondi beach safe,Safety & hazards,informational,TOFU,M,L,H,/bondi-blog/2024/1/21/is-bondi-beach-a-safe-area-crime-rate,own via existing
bondi beach crime rate,Safety & hazards,informational,MOFU,L,L,H,/bondi-blog/2024/1/21/is-bondi-beach-a-safe-area-crime-rate,own via existing
pickpockets thieves bondi beach,Safety & hazards,informational,MOFU,L,L,H,/bondi-blog/2025/1/5/are-there-thieves-or-pickpockets-at-bondi-beach,own via existing
are there sharks at bondi beach,Safety & hazards,informational,MOFU,M,L,H,/bondi-blog/2023/9/28/bondi-beach-and-the-shark-question-unraveling-the-mystery,own via existing
shark attacks bondi beach history,Safety & hazards,informational,MOFU,M,L,H,/bondi-blog/2023/9/28/bondi-beach-and-the-shark-question-unraveling-the-mystery,own via existing
bondi beach bluebottle season,Safety & hazards,informational,MOFU,M,L,H,/bondi-blog/2024/9/8/is-it-safe-to-swim-at-bondi-beach-a-complete-guide,belongs-on-hub
bondi uv index sun safety,Safety & hazards,informational,MOFU,L,L,M,/bondi-weather,belongs-on-hub
are there snakes in bondi,Safety & hazards,informational,TOFU,L,L,H,/bondi-blog/2025/10/13/are-there-snakes-in-bondi,own via existing
bondi beach safety signs meaning,Safety & hazards,informational,MOFU,L,L,H,/bondi-blog/2025/1/5/understanding-bondi-beach-safety-signs,own via existing
what to do if caught in a rip bondi,Safety & hazards,informational,MOFU,M,L,H,/bondi-blog/2024/9/8/is-it-safe-to-swim-at-bondi-beach-a-complete-guide,belongs-on-hub
backpackers rip bondi,Safety & hazards,informational,MOFU,L,L,H,/bondi-blog/2024/9/8/is-it-safe-to-swim-at-bondi-beach-a-complete-guide,belongs-on-hub
is bondi beach expensive,Costs & money,informational,TOFU,M,M,H,/visit-bondi-beach-guide,belongs-on-hub
bondi beach on a budget,Costs & money,informational,MOFU,M,M,H,/bondi-blog/bondi-beach-cheap-food,belongs-on-hub
how much does a day at bondi cost,Costs & money,informational,MOFU,L,M,H,/visit-bondi-beach-guide,belongs-on-hub
free things to do bondi no money,Costs & money,informational,TOFU,M,L,H,/things-to-do-in-bondi,belongs-on-hub
tamarama beach,Neighbourhoods & nearby,navigational,TOFU,M,L,M,/tamarama-beach,own via existing
bronte beach,Neighbourhoods & nearby,navigational,TOFU,M,L,M,/bronte-beach,own via existing
mackenzies bay bondi,Neighbourhoods & nearby,informational,TOFU,L,L,H,/mackenzies-bay,own via existing
nielsen park sydney,Neighbourhoods & nearby,navigational,TOFU,M,L,M,/bondi-blog/2025/1/4/nielsen-park-your-guide-to-sydneys-beloved-coastal-escape,own via existing
waverley cemetery bondi,Neighbourhoods & nearby,informational,TOFU,L,L,M,/bondi-blog/waverley-cemetery-sydney-australia,own via existing
gertrude and alice bookstore bondi,Neighbourhoods & nearby,navigational,TOFU,L,L,M,/bondi-blog/Sydney’s-best-bookstore-gertude-alice,own via existing
hidden beaches near bondi,Neighbourhoods & nearby,informational,TOFU,M,L,H,/bondi-blog/2025/1/1/locals-guide-to-sydneys-20-best-hidden-beaches,own via existing
day trips from bondi,Neighbourhoods & nearby,informational,TOFU,M,M,M,/bondi-blog/2023/8/10/a-guide-to-sydneys-eastern-suburbs-beaches,belongs-on-hub
moving to bondi beach,Moving & living,informational,MOFU,M,M,H,/bondi-blog/2024/12/13/moving-to-bondi-your-complete-guide-to-life-by-the-beach,own via existing
is bondi a good place to live,Moving & living,informational,MOFU,M,M,H,/bondi-blog/is-bondi-good-to-live,own via existing
cost of living bondi,Moving & living,informational,MOFU,M,M,M,/bondi-blog/2024/12/13/moving-to-bondi-your-complete-guide-to-life-by-the-beach,belongs-on-hub
finding a housemate in bondi,Moving & living,informational,MOFU,L,M,M,/bondi-blog/2024/9/16/how-to-find-a-housemate-in-bondi-beach,own via existing
bondi rent prices,Moving & living,informational,MOFU,M,M,M,/bondi-blog/2024/12/13/moving-to-bondi-your-complete-guide-to-life-by-the-beach,belongs-on-hub
bondi rescue lifeguards,Bondi Rescue & pop culture,informational,TOFU,M,L,H,/bondi-rescue,own via existing
who are the bondi rescue lifeguards,Bondi Rescue & pop culture,informational,TOFU,M,L,H,/bondi-blog/meet-bondi-lifeguards,own via existing
bondi rescue facts behind the scenes,Bondi Rescue & pop culture,informational,TOFU,M,L,H,/bondi-blog/2025/4/29/behind-the-scenes-at-bondi-rescue-20-things-you-may-not-know-about-the-show,own via existing
most dramatic bondi rescue moments,Bondi Rescue & pop culture,informational,TOFU,M,L,M,/bondi-blog/2025/1/12/the-20-most-dramatic-moments-on-bondi-rescue,own via existing
where is bondi rescue filmed,Bondi Rescue & pop culture,informational,TOFU,M,L,H,/bondi-rescue,belongs-on-hub
bondi beach film locations,Bondi Rescue & pop culture,informational,TOFU,L,L,M,GAP,NEW page
bondi beach with kids,Kids & family,informational,MOFU,M,M,H,/bondi-with-kids,own via existing
things to do in bondi with kids,Kids & family,informational,MOFU,M,M,H,/bondi-blog/best-kids-activities-bondi-beach,own via existing
bondi beach playground,Kids & family,informational,MOFU,M,L,H,/bondi-blog/bondi-beach-playground-guide,own via existing
best playgrounds near bondi,Kids & family,informational,MOFU,M,L,H,/bondi-blog/2024/9/23/locals-guide-to-the-best-kids-playgrounds-around-bondi,own via existing
bondi kids school holiday activities,Kids & family,informational,MOFU,M,M,H,/bondi-blog/2025/1/7/top-things-to-do-in-bondi-for-kids-during-school-holidays,own via existing
is bondi beach good for families,Kids & family,informational,MOFU,M,M,H,/bondi-with-kids,belongs-on-hub
bondi baby change facilities,Kids & family,informational,MOFU,L,L,M,/bondi-blog/bondi-beach-toilets-showers-change-rooms,belongs-on-hub
bondi running routes,Fitness & wellness,informational,MOFU,M,L,H,/bondi-blog/2024/3/19/bondis-best-running-routes,own via existing
bondi outdoor gym,Fitness & wellness,informational,TOFU,M,L,H,/bondi-blog/bondi-muscle-beach,own via existing
bondi beach run club,Fitness & wellness,informational,MOFU,L,L,M,/bondi-blog/2023/11/9/the-440-run-club-at-bronte-beach-sydneys-open-invitation-for-runners,own via existing
bondi ocean swimming groups,Fitness & wellness,informational,MOFU,L,L,M,/bondi-blog/everything-to-know-bondi-salties-ocean-swimming,own via existing
bondi pilates yoga studios,Fitness & wellness,commercial,MOFU,M,M,M,GAP,NEW page
cold water swimming bondi winter,Fitness & wellness,informational,MOFU,L,L,M,/bondi-blog/bondi-winter-magic,belongs-on-hub
bondi beach wedding venues,Occasions & groups,commercial,MOFU,M,H,M,GAP,NEW page
proposal spots bondi beach,Occasions & groups,informational,MOFU,L,M,M,GAP,NEW page
hens party bondi ideas,Occasions & groups,commercial,MOFU,L,M,M,GAP,NEW page
bucks party bondi,Occasions & groups,commercial,MOFU,L,M,M,GAP,NEW page
group activities bondi beach,Occasions & groups,commercial,MOFU,L,M,M,/things-to-do-in-bondi,belongs-on-hub
bondi beach birthday party ideas,Occasions & groups,commercial,MOFU,L,M,M,GAP,belongs-on-hub
bondi beach tours,Tours & experiences,commercial,BOFU,M,H,H,/tours,own via existing
best bondi tours for visitors,Tours & experiences,commercial,BOFU,M,H,H,/bondi-blog/2024/10/9/best-bondi-beach-tours-for-sydney-visitors,own via existing
bondi walking tour,Tours & experiences,commercial,BOFU,M,H,M,/bondi-blog/bondi-beach-tour-guide,own via existing
bondi to coogee guided walk tour,Tours & experiences,commercial,BOFU,L,H,M,/tours,belongs-on-hub
sydney tour including bondi,Tours & experiences,commercial,BOFU,M,H,M,/tours,belongs-on-hub
bondi sightseeing bus,Tours & experiences,commercial,BOFU,L,M,M,/tours,belongs-on-hub
accessible beach bondi disability,Accessibility & inclusion,informational,MOFU,L,L,H,/bondi-blog/2025/1/5/exploring-bondi-beach-a-guide-to-wheelchair-access,own via existing
beach matting bondi mobility,Accessibility & inclusion,informational,MOFU,L,L,M,/bondi-blog/2025/1/5/exploring-bondi-beach-a-guide-to-wheelchair-access,belongs-on-hub
bondi lgbtq friendly bars,Accessibility & inclusion,commercial,MOFU,L,M,M,GAP,NEW page
bondi backpacker guide,Backpacker & budget travel,informational,MOFU,M,M,H,/bondi-blog/accommodation-options-for-backpackers-in-bondi-beach,own via existing
orphans christmas bronte backpackers,Backpacker & budget travel,informational,MOFU,L,L,M,/bondi-blog/2025/6/21/bronte-beach-backpackers-christmas-2025-ultimate-guide-for-the-orphans-christmas-celebration,own via existing
working holiday bondi tips,Backpacker & budget travel,informational,MOFU,L,M,M,/bondi-blog/2025/6/14/25-essential-hacks-for-starting-a-new-life-in-australia-the-ultimate-aussie-arrival-guide,own via existing
bondi beach from cruise ship,Cruise & day visitors,informational,MOFU,L,M,M,/getting-to-bondi,NEW page
bondi day trip from circular quay cruise,Cruise & day visitors,informational,MOFU,L,M,M,/bondi-blog/day-trip-bondi-beach-top-tips,belongs-on-hub
ev charging near bondi beach,Practical services & EV,informational,MOFU,L,M,M,GAP,NEW page
electric car charging bondi,Practical services & EV,informational,MOFU,L,M,M,GAP,NEW page
bondi beach lockers hire,Practical services & EV,transactional,BOFU,L,M,M,GAP,NEW page
pharmacy near bondi beach,Practical services & EV,informational,MOFU,L,L,L,GAP,belongs-on-hub
dog friendly bondi,Dog-friendly,informational,MOFU,M,M,H,GAP,NEW page
dog beaches near bondi,Dog-friendly,informational,MOFU,M,L,H,GAP,NEW page
dog friendly walks near bondi,Dog-friendly,informational,MOFU,L,L,M,GAP,belongs-on-hub
